IATA,City,Timezone
MEG,Malanje,Africa/Luanda
SPP,Menongue,Africa/Luanda
GXG,Negage,Africa/Luanda
PBN,Porto Amboim,Africa/Luanda
VHC,Saurimo,Africa/Luanda
SZA,Soyo,Africa/Luanda
SDD,Lubango,Africa/Luanda
LUO,Luena,Africa/Luanda
UGO,Uige,Africa/Luanda
XGN,Xangongo,Africa/Luanda
OYE,Oyem,Africa/Libreville
OKN,Okondja,Africa/Libreville
LBQ,Lambarene,Africa/Libreville
BMM,Bitam,Africa/Libreville
POG,Port Gentil,Africa/Libreville
OMB,Omboue Hospial,Africa/Libreville
MKU,Makokou,Africa/Libreville
LBV,Libreville,Africa/Libreville
MVB,Franceville,Africa/Libreville
PCP,Principe,Africa/Sao_Tome
TMS,Sao Tome,Africa/Sao_Tome
BEW,Beira,Africa/Maputo
INH,Inhambane,Africa/Maputo
VXC,Lichinga,Africa/Maputo
LFB,Lumbo,Africa/Maputo
MPM,Maputo,Africa/Maputo
MUD,Mueda,Africa/Maputo
MZB,Mocimboa Da Praia,Africa/Maputo
MNC,Nacala,Africa/Maputo
APL,Nampula,Africa/Maputo
POL,Pemba,Africa/Maputo
UEL,Quelimane,Africa/Maputo
TET,Tete,Africa/Maputo
VNX,Vilankulu,Africa/Maputo
DES,Desroches,Indian/Mahe
SEZ,Mahe,Indian/Mahe
PRI,Praslin,Indian/Mahe
AEH,Abeche,Africa/Ndjamena
MQQ,Moundou,Africa/Ndjamena
NDJ,N'djamena,Africa/Ndjamena
FYT,Faya-largeau,Africa/Ndjamena
BUQ,Bulawayo,Africa/Harare
BFO,Chiredzi,Africa/Harare
VFA,Victoria Falls,Africa/Harare
HRE,Harare,Africa/Harare
KAB,Kariba,Africa/Harare
UTA,Mutare,Africa/Harare
MVZ,Masvingo,Africa/Harare
GWE,Gwert,Africa/Harare
HWN,Hwange National Park,Africa/Harare
BLZ,Blantyre,Africa/Blantyre
KGJ,Karonga,Africa/Blantyre
KBQ,Kasungu,Africa/Blantyre
LLW,Lilongwe,Africa/Blantyre
ZZU,Mzuzu,Africa/Blantyre
MSU,Maseru,Africa/Maseru
FIH,Kinshasa,Africa/Kinshasa
NLO,Kinshasa,Africa/Kinshasa
MNB,Muanda,Africa/Kinshasa
FDU,Bandoundu,Africa/Kinshasa
KKW,Kikwit,Africa/Kinshasa
MDK,Mbandaka,Africa/Kinshasa
BDT,Gbadolite,Africa/Kinshasa
GMA,Gemena,Africa/Kinshasa
KLI,Kotakoli,Africa/Kinshasa
LIQ,Lisala,Africa/Kinshasa
FKI,Kisangani,Africa/Lubumbashi
IRP,Isiro,Africa/Lubumbashi
BUX,Bunia,Africa/Lubumbashi
BZU,Buta Zega,Africa/Lubumbashi
BKY,Bukavu/kavumu,Africa/Lubumbashi
GOM,Goma,Africa/Lubumbashi
KND,Kindu,Africa/Lubumbashi
FBM,Lubumashi,Africa/Lubumbashi
KWZ,Kolwezi,Africa/Lubumbashi
FMI,Kalemie,Africa/Lubumbashi
KMN,Kamina Base,Africa/Lubumbashi
KGA,Kananga,Africa/Lubumbashi
MJM,Mbuji-mayi,Africa/Lubumbashi
BKO,Bamako,Africa/Bamako
GAQ,Gao,Africa/Bamako
KYS,Kayes,Africa/Bamako
MZI,Mopti,Africa/Bamako
TOM,Tombouctou,Africa/Bamako
BJL,Banjul,Africa/Banjul
FUE,Fuerteventura,Atlantic/Canary
VDE,Hierro,Atlantic/Canary
SPC,Santa Cruz De La Palma,Atlantic/Canary
LPA,Gran Canaria,Atlantic/Canary
ACE,Arrecife,Atlantic/Canary
TFS,Tenerife,Atlantic/Canary
TFN,Tenerife,Atlantic/Canary
MLN,Melilla,Africa/Ceuta
FNA,Freetown,Africa/Freetown
MLW,Monrovia,Africa/Monrovia
ROB,Monrovia,Africa/Monrovia
AGA,Agadir,Africa/Casablanca
TTA,Tan Tan,Africa/Casablanca
FEZ,Fes,Africa/Casablanca
ERH,Er-rachidia,Africa/Casablanca
MEK,Meknes,Africa/Casablanca
OUD,Oujda,Africa/Casablanca
GMD,Ben Slimane,Africa/Casablanca
RBA,Rabat,Africa/Casablanca
CMN,Casablanca,Africa/Casablanca
RAK,Marrakech,Africa/Casablanca
NNA,Kentira,Africa/Casablanca
OZZ,Ouarzazate,Africa/Casablanca
AHU,Al Hociema,Africa/Casablanca
TTU,Tetouan,Africa/Casablanca
TNG,Tanger,Africa/Casablanca
ZIG,Ziguinchor,Africa/Dakar
CSK,Cap Skiring,Africa/Dakar
KLC,Kaolack,Africa/Dakar
DKR,Dakar,Africa/Dakar
XLS,St. Louis,Africa/Dakar
BXE,Bakel,Africa/Dakar
KGG,Kedougou,Africa/Dakar
TUD,Tambacounda,Africa/Dakar
AEO,Aioun El Atrouss,Africa/Nouakchott
TIY,Tidjikja,Africa/Nouakchott
KFA,Kiffa,Africa/Nouakchott
EMN,Nema,Africa/Nouakchott
KED,Kaedi,Africa/Nouakchott
NKC,Nouakschott,Africa/Nouakchott
SEY,Selibabi,Africa/Nouakchott
ATR,Atar,Africa/Nouakchott
NDB,Nouadhibou,Africa/Nouakchott
FIG,Fira,Africa/Conakry
FAA,Faranah,Africa/Conakry
LEK,Labe,Africa/Conakry
SID,Amilcar Cabral,Atlantic/Cape_Verde
BVC,Boa Vista,Atlantic/Cape_Verde
MMO,Maio,Atlantic/Cape_Verde
SNE,Sao Nocolau Island,Atlantic/Cape_Verde
VXE,Sao Vicente Island,Atlantic/Cape_Verde
ADD,Addis Ababa,Africa/Addis_Ababa
AMH,Arba Minch,Africa/Addis_Ababa
AXU,Axum,Africa/Addis_Ababa
BJR,Bahar Dar,Africa/Addis_Ababa
DIR,Dire Dawa,Africa/Addis_Ababa
GMB,Gambella,Africa/Addis_Ababa
GDQ,Gondar,Africa/Addis_Ababa
JIM,Jimma,Africa/Addis_Ababa
LLI,Lalibella,Africa/Addis_Ababa
MQX,Makale,Africa/Addis_Ababa
ASO,Asosa,Africa/Addis_Ababa
BJM,Bujumbura,Africa/Bujumbura
HGA,Hargeisa,Africa/Mogadishu
BBO,Berbera,Africa/Mogadishu
KMU,Kismayu,Africa/Mogadishu
ALY,Alexandria,Africa/Cairo
ABS,Abu Simbel,Africa/Cairo
CAI,Cairo,Africa/Cairo
CWE,Cairo,Africa/Cairo
HRG,Hurghada,Africa/Cairo
EGH,El Gorah,Africa/Cairo
LXR,Luxor,Africa/Cairo
MUH,Mersa-matruh,Africa/Cairo
PSD,Port Said,Africa/Cairo
SKV,St. Catherine,Africa/Cairo
ASW,Aswan,Africa/Cairo
ELT,El-tor,Africa/Cairo
EDL,Eldoret,Africa/Nairobi
GGM,Kakamega,Africa/Nairobi
KIS,Kisumu,Africa/Nairobi
KTL,Kitale,Africa/Nairobi
LOK,Lodwar,Africa/Nairobi
LAU,Lamu,Africa/Nairobi
MBA,Mombasa,Africa/Nairobi
WIL,Nairobi,Africa/Nairobi
WJR,Wajir,Africa/Nairobi
GHT,Ghat,Africa/Tripoli
AKF,Kufra,Africa/Tripoli
BEN,Benghazi,Africa/Tripoli
SEB,Sebha,Africa/Tripoli
TIP,Tripoli,Africa/Tripoli
LMQ,Marsa Brega,Africa/Tripoli
HUQ,Hon,Africa/Tripoli
LTD,Ghadames,Africa/Tripoli
GYI,Gisenyi,Africa/Kigali
KGL,Kigali,Africa/Kigali
KME,Kamembe,Africa/Kigali
DOG,Dongola,Africa/Khartoum
RSS,Damazin,Africa/Khartoum
ELF,El Fasher,Africa/Khartoum
KSL,Kassala,Africa/Khartoum
KDX,Kadugli,Africa/Khartoum
EBD,El Obeid,Africa/Khartoum
JUB,Juba,Africa/Juba
MAK,Malakal,Africa/Juba
KRT,Khartoum,Africa/Khartoum
ARK,Arusha,Africa/Dar_es_Salaam
DAR,Dar Es Salaam,Africa/Dar_es_Salaam
DOD,Dodoma,Africa/Dar_es_Salaam
IRI,Iringa,Africa/Dar_es_Salaam
JRO,Kilimanjaro,Africa/Dar_es_Salaam
LKY,Lake Manyara,Africa/Dar_es_Salaam
MYW,Mtwara,Africa/Dar_es_Salaam
MWZ,Mwanza,Africa/Dar_es_Salaam
PMA,Pemba,Africa/Dar_es_Salaam
TGT,Tanga,Africa/Dar_es_Salaam
ZNZ,Zanzibar,Africa/Dar_es_Salaam
EBB,Entebbe,Africa/Kampala
SRT,Soroti,Africa/Kampala
TIA,Tirana,Europe/Tirane
BOJ,Bourgas,Europe/Sofia
GOZ,Gorna Orechovica,Europe/Sofia
PDV,Plovdiv,Europe/Sofia
SOF,Sofia,Europe/Sofia
SZR,Stara Zagora,Europe/Sofia
VAR,Varna,Europe/Sofia
LCA,Larnaca,Asia/Nicosia
PFO,Paphos,Asia/Nicosia
AKT,Akrotiri,Asia/Nicosia
DBV,Dubrovnik,Europe/Zagreb
OSI,Osijek,Europe/Zagreb
PUY,Pula,Europe/Zagreb
RJK,Rijeka,Europe/Zagreb
SPU,Split,Europe/Zagreb
ZAG,Zagreb,Europe/Zagreb
ZAD,Zadar,Europe/Zagreb
ABC,Albacete,Europe/Madrid
ALC,Alicante,Europe/Madrid
LEI,Almeria,Europe/Madrid
OVD,Aviles,Europe/Madrid
ODB,Cordoba,Europe/Madrid
BIO,Bilbao,Europe/Madrid
BCN,Barcelona,Europe/Madrid
BJZ,Badajoz,Europe/Madrid
LCG,La Coruna,Europe/Madrid
GRO,Gerona,Europe/Madrid
GRX,Granada,Europe/Madrid
IBZ,Ibiza,Europe/Madrid
XRY,Jerez,Europe/Madrid
MJV,Murcia,Europe/Madrid
MAD,Madrid,Europe/Madrid
AGP,Malaga,Europe/Madrid
MAH,Menorca,Europe/Madrid
OZP,Sevilla,Europe/Madrid
PNA,Pamplona,Europe/Madrid
REU,Reus,Europe/Madrid
ROZ,Rota,Europe/Madrid
SLM,Salamanca,Europe/Madrid
EAS,San Sebastian,Europe/Madrid
SCQ,Santiago,Europe/Madrid
LEU,Seo De Urgel,Europe/Madrid
TOJ,Madrid,Europe/Madrid
VLC,Valencia,Europe/Madrid
VLL,Valladolid,Europe/Madrid
VIT,Vitoria,Europe/Madrid
VGO,Vigo,Europe/Madrid
SDR,Santander,Europe/Madrid
ZAZ,Zaragoza,Europe/Madrid
SVQ,Sevilla,Europe/Madrid
CQF,Calais,Europe/Paris
BYF,Albert,Europe/Paris
LTQ,Le Tourquet,Europe/Paris
XVS,Valenciennes,Europe/Paris
AGF,Agen,Europe/Paris
BOD,Bordeaux,Europe/Paris
EGC,Bergerac,Europe/Paris
CNG,Cognac,Europe/Paris
PIS,Poitiers,Europe/Paris
MCU,Montlucon-gueret,Europe/Paris
LIG,Limoges,Europe/Paris
NIT,Niort,Europe/Paris
TLS,Toulouse,Europe/Paris
PUF,Pau,Europe/Paris
LDE,Tarbes,Europe/Paris
ANG,Angouleme,Europe/Paris
BVE,Brive,Europe/Paris
PGX,Perigueux,Europe/Paris
BIQ,Biarritz-bayonne,Europe/Paris
ZAO,Cahors,Europe/Paris
LBI,Albi,Europe/Paris
DCM,Castres,Europe/Paris
RDZ,Rodez,Europe/Paris
RYN,Royan,Europe/Paris
XMW,Montauban,Europe/Paris
RCO,Rochefort,Europe/Paris
CMR,Colmar,Europe/Paris
DLE,Dole,Europe/Paris
OBS,Aubenas-vals-lanas,Europe/Paris
LPY,Le Puy,Europe/Paris
ETZ,Metz,Europe/Paris
BIA,Bastia,Europe/Paris
CLY,Calvi,Europe/Paris
FSC,Figari,Europe/Paris
AJA,Ajaccio,Europe/Paris
PRP,Propriano,Europe/Paris
SOZ,Solenzara,Europe/Paris
AUF,Auxerre,Europe/Paris
CMF,Chambery,Europe/Paris
CFE,Clermont-Ferrand,Europe/Paris
BOU,Bourges,Europe/Paris
QNJ,Annemasse,Europe/Paris
LYS,Lyon,Europe/Paris
SYT,St.-yan,Europe/Paris
RNE,Roanne,Europe/Paris
NCY,Annecy,Europe/Paris
GNB,Grenoble,Europe/Paris
VAF,Valence,Europe/Paris
VHY,Vichy,Europe/Paris
AUR,Aurillac,Europe/Paris
CHR,Chateauroux,Europe/Paris
LYN,Lyon,Europe/Paris
CEQ,Cannes,Europe/Paris
EBU,St-Etienne,Europe/Paris
CCF,Carcassonne,Europe/Paris
MRS,Marseille,Europe/Paris
NCE,Nice,Europe/Paris
XOG,Orange,Europe/Paris
PGF,Perpignan,Europe/Paris
CTT,Le Castellet,Europe/Paris
MPL,Montpellier,Europe/Paris
BZR,Beziers,Europe/Paris
AVN,Avignon,Europe/Paris
MEN,Mende,Europe/Paris
BVA,Beauvais,Europe/Paris
EVX,Evreux,Europe/Paris
LEH,Le Havre,Europe/Paris
XAB,Abbeville,Europe/Paris
ORE,Orleans,Europe/Paris
XCR,Chalons,Europe/Paris
URO,Rouen,Europe/Paris
TUF,Tours,Europe/Paris
CET,Cholet,Europe/Paris
LVA,Laval,Europe/Paris
LBG,Paris,Europe/Paris
CSF,Creil,Europe/Paris
CDG,Paris,Europe/Paris
TNF,Toussous-le-noble,Europe/Paris
ORY,Paris,Europe/Paris
POX,Pontoise,Europe/Paris
VIY,Villacoublay,Europe/Paris
NVS,Nevers,Europe/Paris
XME,Maubeuge,Europe/Paris
LIL,Lille,Europe/Paris
HZB,Merville,Europe/Paris
XCZ,Charleville,Europe/Paris
BES,Brest,Europe/Paris
CER,Cherbourg,Europe/Paris
DNR,Dinard,Europe/Paris
LBY,La Baule,Europe/Paris
GFR,Granville,Europe/Paris
DOL,Deauville,Europe/Paris
LRT,Lorient,Europe/Paris
EDM,La Roche-sur-yon,Europe/Paris
LDV,Landivisiau,Europe/Paris
CFR,Caen,Europe/Paris
LME,Le Mans,Europe/Paris
RNS,Rennes,Europe/Paris
LAI,Lannion,Europe/Paris
UIP,Quimper,Europe/Paris
NTE,Nantes,Europe/Paris
SBK,St.-brieuc Armor,Europe/Paris
MXN,Morlaix,Europe/Paris
VNE,Vannes,Europe/Paris
SNR,St.-nazaire,Europe/Paris
BSL,Mulhouse,Europe/Paris
DIJ,Dijon,Europe/Paris
MZM,Metz,Europe/Paris
EPL,Epinal,Europe/Paris
ENC,Nancy,Europe/Paris
RHE,Reims,Europe/Paris
SXB,Strasbourg,Europe/Paris
TLN,Hyeres,Europe/Paris
FNI,Nimes,Europe/Paris
MQC,Miquelon,America/Miquelon
FSP,St.-pierre,America/Miquelon
PYR,Andravida,Europe/Athens
AGQ,Agrinion,Europe/Athens
AXD,Alexandroupolis,Europe/Athens
VOL,Nea Anghialos,Europe/Athens
JKH,Chios,Europe/Athens
IOA,Ioannina,Europe/Athens
HER,Heraklion,Europe/Athens
KSO,Kastoria,Europe/Athens
KIT,Kithira,Europe/Athens
EFL,Keffallinia,Europe/Athens
KLX,Kalamata,Europe/Athens
KGS,Kos,Europe/Athens
AOK,Karpathos,Europe/Athens
CFU,Kerkyra/corfu,Europe/Athens
KSJ,Kasos,Europe/Athens
KVA,Kavala,Europe/Athens
KZI,Kozani,Europe/Athens
LRS,Leros,Europe/Athens
LXS,Limnos,Europe/Athens
LRA,Larissa,Europe/Athens
JMK,Mykonos,Europe/Athens
MJT,Mytilini,Europe/Athens
PVK,Preveza,Europe/Athens
RHO,Rhodos,Europe/Athens
GPA,Patras,Europe/Athens
CHQ,Chania,Europe/Athens
JSI,Skiathos,Europe/Athens
SMI,Samos,Europe/Athens
SPJ,Sparti,Europe/Athens
JTR,Thira,Europe/Athens
JSH,Sitia,Europe/Athens
SKU,Skiros,Europe/Athens
SKG,Thessaloniki,Europe/Athens
ZTH,Zakynthos,Europe/Athens
BUD,Budapest,Europe/Budapest
DEB,Debrecen,Europe/Budapest
CRV,Crotone,Europe/Rome
BRI,Bari,Europe/Rome
FOG,Foggia,Europe/Rome
TAR,Grottaglie,Europe/Rome
LCC,Lecce,Europe/Rome
PSR,Pescara,Europe/Rome
BDS,Brindisi,Europe/Rome
SUF,Lamezia,Europe/Rome
CTA,Catania,Europe/Rome
LMP,Lampedusa,Europe/Rome
PNL,Pantelleria,Europe/Rome
PMO,Palermo,Europe/Rome
REG,Reggio Calabria,Europe/Rome
TPS,Trapani,Europe/Rome
NSY,Sigonella,Europe/Rome
AHO,Alghero,Europe/Rome
DCI,Decimomannu,Europe/Rome
CAG,Cagliari,Europe/Rome
OLB,Olbia,Europe/Rome
TTB,Tortoli,Europe/Rome
MXP,Milano,Europe/Rome
BGY,Bergamo,Europe/Rome
TRN,Torino,Europe/Rome
ALL,Albenga,Europe/Rome
GOA,Genoa,Europe/Rome
LIN,Milan,Europe/Rome
PMF,Parma,Europe/Rome
CUF,Cuneo,Europe/Rome
AVB,Aviano,Europe/Rome
BZO,Bolzano,Europe/Rome
BLQ,Bologna,Europe/Rome
TSF,Treviso,Europe/Rome
FRL,Forli,Europe/Rome
VBS,Brescia,Europe/Rome
TRS,Ronchi De Legionari,Europe/Rome
RMI,Rimini,Europe/Rome
VIC,Vicenza,Europe/Rome
QPA,Padova,Europe/Rome
VRN,Villafranca,Europe/Rome
VCE,Venice,Europe/Rome
SAY,Siena,Europe/Rome
CIA,Rome,Europe/Rome
FCO,Rome,Europe/Rome
EBA,Marina Di Campo,Europe/Rome
QLT,Latina,Europe/Rome
NAP,Naples,Europe/Rome
PSA,Pisa,Europe/Rome
FLR,Florence,Europe/Rome
GRS,Grosseto,Europe/Rome
PEG,Perugia,Europe/Rome
LJU,Ljubljana,Europe/Ljubljana
MBX,Maribor,Europe/Ljubljana
POW,Portoroz,Europe/Ljubljana
UHE,Kunovice,Europe/Prague
KLV,Karlovy Vary,Europe/Prague
OSR,Ostrava,Europe/Prague
PED,Pardubice,Europe/Prague
PRV,Prerov,Europe/Prague
PRG,Prague,Europe/Prague
BRQ,Brno,Europe/Prague
VOD,Vodochody,Europe/Prague
TLV,Tel-aviv,Asia/Jerusalem
BEV,Beer-sheba,Asia/Jerusalem
ETH,Elat,Asia/Jerusalem
EIY,Eyn-yahav,Asia/Jerusalem
HFA,Haifa,Asia/Jerusalem
RPN,Rosh Pina,Asia/Jerusalem
MTZ,Metzada,Asia/Jerusalem
VTM,Nevatim,Asia/Jerusalem
VDA,Ovda,Asia/Jerusalem
MIP,Ramon,Asia/Jerusalem
SDV,Tel-aviv,Asia/Jerusalem
MLA,Malta,Europe/Malta
GRZ,Graz,Europe/Vienna
INN,Innsbruck,Europe/Vienna
LNZ,Linz,Europe/Vienna
SZG,Salzburg,Europe/Vienna
VIE,Vienna,Europe/Vienna
AVR,Alverca,Europe/Lisbon
SMA,Santa Maria (island),Atlantic/Azores
BGC,Braganca,Europe/Lisbon
BYJ,Beja (madeira),Europe/Lisbon
BGZ,Braga,Europe/Lisbon
CAT,Cascais,Europe/Lisbon
FLW,Flores,Atlantic/Azores
FAO,Faro,Europe/Lisbon
GRW,Graciosa Island,Atlantic/Azores
HOR,Horta,Atlantic/Azores
TER,Lajes (terceira Island),Atlantic/Azores
QLR,Monte Real,Europe/Lisbon
PDL,Ponta Delgada,Atlantic/Azores
PIX,Pico,Atlantic/Azores
PRM,Portimao,Europe/Lisbon
OPO,Porto,Europe/Lisbon
PXO,Porto Santo,Atlantic/Madeira
LIS,Lisbon,Europe/Lisbon
SJZ,Sao Jorge Island,Atlantic/Azores
VRL,Vila Real,Europe/Lisbon
VSE,Viseu,Europe/Lisbon
OMO,Mostar,Europe/Sarajevo
SJJ,Sarajevo,Europe/Sarajevo
ARW,Arad,Europe/Bucharest
BCM,Bacau,Europe/Bucharest
BAY,Baia Mare,Europe/Bucharest
BBU,Bucharest,Europe/Bucharest
CND,Constanta,Europe/Bucharest
CLJ,Cluj-napoca,Europe/Bucharest
CSB,Caransebes,Europe/Bucharest
CRA,Craiova,Europe/Bucharest
IAS,Iasi,Europe/Bucharest
OMR,Oradea,Europe/Bucharest
OTP,Bucharest,Europe/Bucharest
SBZ,Sibiu,Europe/Bucharest
SUJ,Satu Mare,Europe/Bucharest
SCV,Suceava,Europe/Bucharest
TCE,Tulcea,Europe/Bucharest
TGM,Tirgu Mures,Europe/Bucharest
TSR,Timisoara,Europe/Bucharest
GVA,Geneva,Europe/Zurich
SIR,Sion,Europe/Zurich
EML,Emmen,Europe/Zurich
LUG,Lugano,Europe/Zurich
BRN,Bern,Europe/Zurich
ZHI,Grenchen,Europe/Zurich
ZRH,Zurich,Europe/Zurich
ACH,Altenrhein,Europe/Zurich
SMV,Samedan,Europe/Zurich
ESB,Ankara,Europe/Istanbul
ANK,Ankara,Europe/Istanbul
ADA,Adana,Europe/Istanbul
UAB,Adana,Europe/Istanbul
AFY,Afyon,Europe/Istanbul
AYT,Antalya,Europe/Istanbul
GZT,Gaziantep,Europe/Istanbul
KYA,Konya,Europe/Istanbul
MZH,Merzifon,Europe/Istanbul
VAS,Sivas,Europe/Istanbul
MLX,Malatya,Europe/Istanbul
ASR,Kayseri,Europe/Istanbul
TJK,Tokat,Europe/Istanbul
DNZ,Denizli,Europe/Istanbul
ISL,Istanbul,Europe/Istanbul
BZI,Balikesir,Europe/Istanbul
BDM,Bandirma,Europe/Istanbul
ESK,Eskisehir,Europe/Istanbul
ADB,Izmir,Europe/Istanbul
IGL,Izmir,Europe/Istanbul
KCO,Topel,Europe/Istanbul
DLM,Dalaman,Europe/Istanbul
BXN,Bodrum,Europe/Istanbul
EZS,Elazig,Europe/Istanbul
DIY,Diyabakir,Europe/Istanbul
ERC,Erzincan,Europe/Istanbul
ERZ,Erzurum,Europe/Istanbul
TZX,Trabzon,Europe/Istanbul
VAN,Van,Europe/Istanbul
BAL,Batman,Europe/Istanbul
SXZ,Siirt,Europe/Istanbul
BZY,Saltsy,Europe/Chisinau
KIV,Chisinau,Europe/Chisinau
OHD,Ohrid,Europe/Skopje
SKP,Skopje,Europe/Skopje
GIB,Gibraltar,Europe/Gibraltar
BEG,Belgrade,Europe/Belgrade
INI,Nis,Europe/Belgrade
TGD,Podgorica,Europe/Podgorica
PRN,Pristina,Europe/Belgrade
TIV,Tivat,Europe/Podgorica
BTS,Bratislava,Europe/Bratislava
KSC,Kosice,Europe/Bratislava
PZY,Piestany,Europe/Bratislava
SLD,Sliac,Europe/Bratislava
TAT,Poprad,Europe/Bratislava
NCA,North Caicos,America/Grand_Turk
PLS,Providenciales,America/Grand_Turk
XSC,South Caicos,America/Grand_Turk
BRX,Barahona,America/Santo_Domingo
CBJ,Cabo Rojo,America/Santo_Domingo
LRM,La Romana,America/Santo_Domingo
PUJ,Punta Cana,America/Santo_Domingo
POP,Puerto Plata,America/Santo_Domingo
SDQ,Santo Domingo,America/Santo_Domingo
STI,Santiago,America/Santo_Domingo
CBV,Coban,America/Guatemala
GUA,Guatemala City,America/Guatemala
RER,Retalhuleu,America/Guatemala
GSJ,San Jose,America/Guatemala
LCE,La Ceiba,America/Tegucigalpa
SAP,San Pedro Sula,America/Tegucigalpa
GJA,Guanaja,America/Tegucigalpa
RTB,Roatan,America/Tegucigalpa
TEA,Tela,America/Tegucigalpa
TGU,Tegucigalpa,America/Tegucigalpa
TJI,Trujillo,America/Tegucigalpa
OCJ,Ocho Rios,America/Jamaica
KIN,Kingston,America/Jamaica
MBJ,Montego Bay,America/Jamaica
POT,Port Antonio,America/Jamaica
KTP,Kingston,America/Jamaica
ACA,Acapulco,America/Mexico_City
NTR,Monterrey,America/Monterrey
AGU,Aguascalientes,America/Mexico_City
HUX,Huatulco,America/Mexico_City
CVJ,Cuernavaca,America/Mexico_City
ACN,Ciudad Acuna,America/Matamoros
CME,Ciudad Del Carmen,America/Merida
NCG,Nuevo Casas Grandes,America/Chihuahua
CUL,Culiacan,America/Mazatlan
CTM,Chetumal,America/Cancun
CEN,Ciudad Obregon,America/Hermosillo
CPE,Campeche,America/Merida
CJS,Ciudad Juarez,America/Ciudad_Juarez
CUU,Chihuahua,America/Chihuahua
CVM,Ciudad Victoria,America/Monterrey
CZM,Cozumel,America/Cancun
DGO,Durango,America/Monterrey
TPQ,Tepic,America/Mazatlan
ESE,Ensenada,America/Tijuana
GDL,Guadalajara,America/Mexico_City
GYM,Guaymas,America/Hermosillo
TCN,Tehuacan,America/Mexico_City
HMO,Hermosillo,America/Hermosillo
CLQ,Colima,America/Mexico_City
ISJ,Isla Mujeres,America/Cancun
SLW,Saltillo,America/Monterrey
IZT,Iztepec,America/Mexico_City
LZC,Lazard Cardenas,America/Mexico_City
LMM,Los Mochis,America/Mazatlan
BJX,Del Bajio,America/Mexico_City
LAP,La Paz,America/Mazatlan
LTO,Loreto,America/Mazatlan
MAM,Matamoros,America/Matamoros
MID,Merida,America/Merida
MXL,Mexicali,America/Tijuana
MLM,Morelia,America/Mexico_City
MTT,Minatitlan,America/Mexico_City
LOV,Monclova,America/Monterrey
MEX,Mexico City,America/Mexico_City
MTY,Monterrey,America/Monterrey
MZT,Mazatlan,America/Mazatlan
NOG,Nogales,America/Hermosillo
NLD,Nuevo Laredo,America/Matamoros
OAX,Oaxaca,America/Mexico_City
PAZ,Poza Rico,America/Mexico_City
PBC,Puebla,America/Mexico_City
PPE,Punta Penasco,America/Hermosillo
PDS,Piedras Negras,America/Matamoros
UPN,Uruapan,America/Mexico_City
PVR,Puerto Vallarta,America/Mexico_City
PXM,Puerto Escondido,America/Mexico_City
QRO,Queretaro,America/Mexico_City
REX,Reynosa,America/Matamoros
SJD,San Jose Del Cabo,America/Mazatlan
SFH,San Filipe,America/Tijuana
SLP,San Luis Potosi,America/Mexico_City
TRC,Torreon,America/Monterrey
TGZ,Tuxtla Gutierrez,America/Mexico_City
TIJ,Tijuana,America/Tijuana
TAM,Tampico,America/Monterrey
TSL,Tamuin,America/Mexico_City
TLC,Toluca,America/Mexico_City
TAP,Tapachula,America/Mexico_City
CUN,Cancun,America/Cancun
VSA,Villahermosa,America/Mexico_City
VER,Vera Cruz,America/Mexico_City
ZCL,Zacatecas,America/Mexico_City
ZIH,Zihuatanejo,America/Mexico_City
ZMM,Zamora,America/Mexico_City
ZLO,Manzanillo,America/Mexico_City
BEF,Bluefields,America/Managua
MGA,Managua,America/Managua
PUZ,Puerto Cabezas,America/Managua
BOC,Bocas Del Toro,America/Panama
CHX,Changuinola,America/Panama
DAV,David,America/Panama
BLB,Howard,America/Panama
PAC,Panama,America/Panama
SYP,Santiago,America/Panama
PTY,Panama City,America/Panama
BAI,Buenos Aires,America/Costa_Rica
OTR,Coto 47,America/Costa_Rica
JAP,Chacarita,America/Costa_Rica
GLF,Golfito,America/Costa_Rica
GPL,Guapiles,America/Costa_Rica
LIR,Liberia,America/Costa_Rica
LSL,Los Chiles,America/Costa_Rica
LIO,Limon,America/Costa_Rica
NOB,Nosara Beach,America/Costa_Rica
SJO,San Jose,America/Costa_Rica
PMZ,Palmar Sur,America/Costa_Rica
XQP,Quepos,America/Costa_Rica
TOO,San Vito De Jaba,America/Costa_Rica
SAL,San Salvador,America/El_Salvador
CYA,Cayes,America/Port-au-Prince
CAP,Cap Haitien,America/Port-au-Prince
JAK,Jacmel,America/Port-au-Prince
PAP,Port-au-prince,America/Port-au-Prince
BCA,Baracoa Playa,America/Havana
BYM,Bayamo,America/Havana
AVI,Ciego De Avila,America/Havana
CCC,Cunagua,America/Havana
CFG,Cienfuegos,America/Havana
CYO,Cayo Largo del Sur,America/Havana
CMW,Camaguey,America/Havana
SCU,Santiago De Cuba,America/Havana
NBW,Guantanamo,America/New_York
GAO,Guantanamo,America/Havana
HAV,Havana,America/Havana
HOG,Holguin,America/Havana
LCL,La Coloma,America/Havana
MOA,Moa,America/Havana
MZO,Manzanillo,America/Havana
GER,Nueva Gerona,America/Havana
UPB,Baracoa Playa,America/Havana
QPD,Pinar Del Rio Norte,America/Havana
SNU,Santa Clara,America/Havana
SZJ,Siguanea,America/Havana
USS,Sancti Spiritus,America/Havana
VRA,Varadero,America/Havana
VTU,Las Tunas,America/Havana
CYB,Cayman Brac,America/Cayman
GCM,Georgetown,America/Cayman
